agent_type,seed,best_val_sharpe,final_loss
no_regime_iqn,42,1.7290736290300346,8.145189126552727e-06
no_regime_iqn,123,1.4813767303208285,8.031577679156768e-06
no_regime_iqn,456,1.3830714051480641,6.7339207760683395e-06
no_regime_iqn,789,1.5122504203028058,6.695478577100966e-06
no_regime_iqn,1337,1.4520303762536702,7.391381965741556e-06
hmm_hard_dqn,42,1.7290440238435925,6.746712704134842e-06
hmm_hard_dqn,123,1.4814100485540318,7.477022825566695e-06
hmm_hard_dqn,456,1.3832468787227357,7.07938157401735e-06
hmm_hard_dqn,789,1.512434316179273,7.02719286198858e-06
hmm_hard_dqn,1337,1.4517458017959024,6.760186786359264e-06
hmm_posterior_dqn,42,1.729045198231706,7.354347577737437e-06
hmm_posterior_dqn,123,1.4813902722943397,7.52326656469998e-06
hmm_posterior_dqn,456,1.3832652179696177,6.4021371170181535e-06
hmm_posterior_dqn,789,1.5124277689500933,6.9554040062881994e-06
hmm_posterior_dqn,1337,1.451835404224516,8.270824879969403e-06
uarc,42,1.7290702590201898,1.0031616184278392e-05
uarc,123,1.4813679430545452,8.43304743717627e-06
uarc,456,1.3830700706212684,7.321508568320642e-06
uarc,789,1.512240414190166,7.314975662175417e-06
uarc,1337,1.4520335030143665,8.47087448489349e-06
